issue	created	updated	author	comments	type	labels	repro	run	title	verdict	dup	settype	settitle	addlabels	rmlabels	action	note
330	2015-08-13	2026-08-14	mikestillman	2	Task	Documentation	transcript	syntax	Segre class formula needs projectiveBundle', not projectiveBundle -- undocumented	not-a-bug		Task	Segre class formula needs projectiveBundle', not projectiveBundle -- undocumented	Documentation		comment	not a defect: reproduces byte-identically, and jmokland's 2015 remark is confirmed -- segre F equals the pushforward under projectiveBundle' (quotients) but not projectiveBundle (subs). Each convention is documented on its own page; the interaction is not, and segre's own dual is provisional per its doc. Kept open as a doc task
332	2015-08-24	2026-08-14	DanGrayson	0	Bug	Core	transcript	differs	"replace" doesn't respect unicode	reproduces		Bug		Core			replace still operates on bytes: replace("_(.)","<sup>\\1</sup>","a_pi") splits the two-byte UTF-8 pi, giving a<sup>?</sup>?. utf8 of the same string correctly gives {97,95,960}, so M2 knows it is 3 characters
350	2015-11-02	2026-08-14	craicu	3	Bug	Core	transcript	syntax	Kernel of a homomorphism of modules over different rings	stands		Bug		Core			half fixed. Dan said 'both aspects': target QQ[] now works (ker g = image matrix {{x}}, was 'assertion failed'), target QQ still errors 'no coefficient ring present' at rings.m2:56
364	2016-01-19	2026-08-16	antonleykin	4	Bug	Core	opaque	n/a	copy MutableMatrix	reproduces		Bug		Core		comment	reproduces: copy A aliases (editing the copy sets A_(0,0)=99).  Dan's 2016 diagnosis STANDS -- my 'copy returns the original object' correction was withdrawn on Doug's catch that === compares CONTENTS for immutable hash tables.  #944 folded in here: new MutableMatrix from M aliases the same way, and lookup(NewFromMethod,MutableMatrix,MutableMatrix) is null while new MutableMatrix from Matrix (mutablemat.m2:34) copies properly.  Workaround mutableMatrix matrix A deep-copies
386	2016-03-25	2026-08-14	tom111	0	Feature	Core	m2	different-error	Extend factorization to polynomials with more general coefficients.	stands		Feature		Core			factorization itself now works over a fraction-field coefficient ring: factor(x1^2-k1^2) over frac(QQ[k1,k2])[x1,x2] gives (-x1+k1)*(x1+k1)*(-1). What the reporter actually wanted, primaryDecomposition, still errors
419	2016-05-05	2026-08-14	DanGrayson	1	Feature	Core	transcript	syntax	copyDirectory fails on read-only files.	stands		Feature		Core			the bugs/ sweep already commented 2026-08-06 locating the same failure one level down in copyFile, which is where the suggested option would have to live
431	2016-05-10	2026-08-16	DanGrayson	2	Bug	Core,Documentation	opaque	n/a	relative links between documentation files	stands		Bug		Core		comment	the idiom is still in use and has spread: currentLayout#package appears 11x in 9 files -- Macaulay2Doc x4 (incl. the eisenbud.jpg line from the issue, now ov_preface.m2:452) plus Chordal, CohomCalg, Jets, MonomialAlgebras, Python.  Cause is an ordering: installPackage.m2:688 loads the docs, line 700 initInstallDirectory sets installPrefix/installLayout, so a document body sees stale-or-null and can only use currentLayout.  TO links escape via htmlFilename's (prefix,tail) pair through toURL(String,String); HREF already accepts that pair form.  #957 closed into this
440	2016-05-23	2026-08-14	DanGrayson	0	Task	build issue,stale	prose	n/a	standard make targets	stands		Task					partly there: install, dist, check, clean, distclean all exist in M2/Makefile.in. Still missing from the GNU list Dan linked: uninstall, distcheck, installdirs, TAGS. build issue and stale labels both correct
453	2016-05-26	2026-08-14	DanGrayson	11	Task	build issue,stale	opaque	n/a	reducing recompilation	stands		Task					unchanged: configure.ac:10 still does AC_DEFINE_UNQUOTED(CONFIG_ARGS,...), so every configure-argument change still rewrites config.h and recompiles e/. Dan in 2020: 'Yes, it's a lot of work.' build issue and stale both correct
456	2016-05-26	2026-08-14	bstone	1	Feature	Core	transcript	reproduces	code(method) does not give code for the method	reproduces		Feature		Core			code Ext still errors 'no method found for applying code to: Ext (of class ScriptedFunctor)'; code methods Ext still works. Dan's 2016 'we could make that automatic' is unimplemented
457	2016-05-26	2026-08-18	DanGrayson	5	Task	Interfaces,build issue,package issue,stale	opaque	n/a	Polymake under Ubuntu	stands		Task		package issue			the bugs/ sweep already commented 2026-08-04. Interfaces, build issue and stale labels all correct
479	2016-06-03	2026-08-14	lkastner	11	Bug	Linear Algebra	m2	clean	solve returns a non-solution for inconsistent systems; ZZ and RR disagree about how to fail	reproduces		Bug	solve returns a non-solution for inconsistent systems; ZZ and RR disagree about how to fail			comment	original report fixed; tom111's 2018 case live and worse -- solve(matrix{{0,0},{0,1}}, matrix{{1},{1}}) returns matrix{{0},{1}} with A*x != b, silently. Over RR the same returns null. #603 is the worked example of the fix this needs: check solve's null at the call site rather than letting it propagate. Linear Algebra label correct
485	2016-06-14	2026-08-14	DanGrayson	0	Task	Engine	prose	n/a	move finalizations and deletions from e/* to d/engine.dd	stands		Task					unchanged: finalizations still live in e/finalize.cpp and e/newdelete.hpp, nothing in d/engine.dd. Engine label correct
486	2016-06-15	2026-08-14	DanGrayson	2	Task	Engine	opaque	n/a	error returns of engine pointers	stands		Task					unchanged: engine.h still has 11 '/* or null */' pointer returns. Dan's 2017 refinement -- rawStartComputation needs no return value except the error indication -- is unimplemented. Engine label correct
488	2016-06-16	2026-08-14	DanGrayson	3	Bug	Engine	m2	timeout	memory leak	reproduces		Bug					the bugs/ sweep already commented 2026-08-13: still leaking ten years on, and the IC.cache.quotient question this issue was opened to probe is answered -- that field is not the retainer. Engine label correct
498	2016-07-15	2026-08-14	bhersey1	1	Feature	Core	transcript	drift	Monomial ideals in the exterior algebra	reproduces		Feature		Core			guard still at m2/monideal.m2:24 'if not isCommutative ring f then error'. monomialIdeal on an exterior-algebra ideal still errors; Dan's 2016 experiment of commenting the check out was never followed up
502	2016-07-28	2026-08-18	lkastner	0	Task	package issue	prose	n/a	Markov.m2 has no tests, but version 1.2	stands		Task		package issue			partly addressed: Markov.m2 now has one TEST block at line 655, where the issue reports none. The debugging code at the end that the reporter suggested mining is still there
504	2016-07-28	2026-08-18	lkastner	1	Task	package issue	prose	n/a	ToricTopology.m2 has no tests, but version 1.0	stands		Task		package issue			unchanged: ToricTopology.m2 still has zero TEST blocks. Dan invited Alvise Trevisan as a collaborator in 2016 to assign it; nothing since
507	2016-08-02	2026-08-18	lkastner	2	Task	package issue	prose	n/a	statePolytope vs StatePolytope.m2	stands		Task		package issue			both still exist: Polyhedra exports statePolytope (exports.m2:108, defined in extended/not_refactored.m2:12, confirmed at runtime) and StatePolytope.m2 is still a package. Polyhedra/TODO:4 notes its documentation is wrong. lkastner's ask to drop one is unmet
519	2016-08-31	2026-08-14	DanGrayson	2	Feature	build issue	prose	n/a	need a way to disable or modify ulimit parameters globally	stands		Feature					the bugs/ sweep literally REOPENED this on 2026-08-05 (state_reason REOPENED) and commented: it had closed on 'disable' (argumentMode = defaultMode - SetUlimit) but not on 'modify', which is what the bugs/ tree asked for. build issue label correct
521	2016-09-02	2026-08-14	BrentBaccala	0	Feature	arm,build issue,stale	prose	n/a	Android app needed	stands		Feature					unimplemented and not obsolete: no android references in the build, and Baccala's arm executables page at freesoft.org still returns 200. arm, build issue, stale all correct
527	2016-10-21	2026-08-14	mikestillman	3	Bug	Core,Gröbner bases	m2	clean	ker DegreeLimit silently truncates when the ring map is not homogeneous	reproduces		Bug	ker DegreeLimit silently truncates when the ring map is not homogeneous	Gröbner bases		comment	feature exists and is documented, and works exactly as documented for HOMOGENEOUS maps -- graded version of this issue's own map gives DegreeLimit=>8 -> the degree-8 generator, =>12 -> all four. But the example as written is inhomogeneous (a is degree 1, maps to s^4), and there ker(phi,DegreeLimit=>3) returns ideal() for a kernel generated in degrees {2,3,3,3}, silently. Mechanism: ringmap.m2 passes opts to gb on the graph ideal, so the limit bounds that computation, not the kernel's degrees. Searched DegreeLimit/graphIdeal/selectInSubring/inhomogeneous across all bodies and 16874 comments -- nothing covers it; #4618 is the same shape in adjacent code
540	2016-11-22	2026-08-20	dmaclagan	2	Bug	Interpreter	transcript	clean	Error message when defining a ring with a variables x and x_1	reproduces		Bug		Interpreter		comment	byte-identical to 2016, including the doubled warning and the same debug 9868. Both of Dan's asks open: rewrite the scan in enginering.m2 as 'R.generatorSymbols <- R.generators' so <- can detect it, and find out why it prints twice. Now also the surviving row for #2771 (mikestillman, 2023), closed as a duplicate in batch 48; that issue's cross-ring reproduction, the repetition on 'use', mahrud's ask that QQ[a,a_1,a_2] work, and Dan's explanation that a_1/a_2 values live in a (with a global table as the alternative, GC consequences unknown) were carried here by comment.
548	2016-12-27	2026-08-18	DanGrayson	2	Bug	Interfaces,package issue	none	n/a	PHCpack doesn't always examine value returned by "run"	stands		Bug		package issue			anton asked in 2016 to assign it to Jan Verschelde, who maintains PHCpack.m2; never assigned, never touched. Body is empty -- the whole content is the title
567	2017-01-10	2026-08-14	mahrud	0	Feature	Core,Linear Algebra	m2	different-error	Lift and promote with MutableMatrix not completely implemented	reproduces		Feature		Core,Linear Algebra			verified out of turn while closing #491, which points here as the surviving gap: lift(n,R) and R_0*n still error on a MutableMatrix while working on a Matrix, and both of mahrud's workarounds (mutableMatrix lift(matrix n,R) and promote(R_0,K)*n) still work. Part of an unread cluster: #1477, #2192, #2103, #3243, #4376
568	2017-01-11	2026-08-14	mikestillman	0	Bug	Core,Linear Algebra	m2	different-error	mingens in local rings	reproduces		Bug		Core,Linear Algebra			reproduces exactly: mingens of ideal(x^2-x^3, x^4) over (ZZ/31991){x,y} gives 2 generators where 1 is right -- x^2-x^3 = x^2(1-x), 1-x a unit. #600 closed onto this as the duplicate; its module example is stronger evidence, with minimalPresentation returning 3 where mingens returns 4. Same family as #105 and #569 (fixed)
581	2017-03-19	2026-08-14	jakobkroeker	1	Feature	Interpreter	m2	different-error	minor: replacing basic functionality without a warning; an issue or a feature?	stands		Feature		Interpreter			Dan 2017: 'Macaulay2 is an open system, and the user can redefine things. Let us know if you have a proposal.' No proposal in 9 years. Open by default rather than by decision
594	2017-04-24	2026-08-14	DanGrayson	16	Task	Core	prose	n/a	replace gdbm by cdb	stands		Task		Core			gdbm still in use; mahrud added LMDB as a contender in 2022. No work since
607	2017-05-16	2026-08-14	mikestillman	3	Bug	Core	m2	different-error	concatenation of homogeneous matrices of nonzero degree does not preserve degree	reproduces		Bug		Core			reproduces exactly: degree(m|m) and degree(m||m) are {0} where {2} is right. Doug reopened this 2026-08-03 after it had been closed as a duplicate of #736, with the distinction documented -- here the degrees agree so the right degree IS computed then discarded by map(Module,Module,Nothing,RawMatrix) dropping options, whereas in #736 the degrees differ so none is computed. That duplicate question is settled
611	2017-05-23	2026-08-14	mikestillman	0	Task	Engine	foreign	n/a	add code to tower.{hpp,cpp} or use flint tower polynomials	reproduces		Task					unmet, and the code says so: tower.cpp moved to e/rings/ by ae612baae4 (a pure rename) and Tower::promote at :322 and Tower::lift at :331 are both stubs returning false with the comment 'Write this.  Git issue #611'. Tower::create at :56 is '// TODO: write'. Engine label correct
613	2017-05-23	2026-08-14	mikestillman	0	Task	Engine	prose	n/a	review reduce_by_pivots code in engine	stands		Task					unmet, verified: x-mutablemat.cpp is now interface/mutable-matrix.cpp; reduce_by_pivots lives in basic-mutable-matrices/mat-elem-ops.hpp at :476 and :814 plus mat.hpp:195, and there are NO tests for it in e/unit-tests/. The ask was to write tests. Engine label correct
622	2017-06-03	2026-08-14	DanGrayson	0	Bug	Core	transcript	same-output	topComponents in quotient rings	reproduces		Bug		Core			byte-identical to 2017 (run=same-output): topComponents ideal(y,z) over QQ[x,y,z]/(x*y,x*z) still returns ideal 1. 0 comments in 9 years
625	2017-06-05	2025-05-13	DanGrayson	0	Feature	Documentation	prose	n/a	posting documentation of individual packages	stands		Feature					unmet, mechanism located: htmlFilename (installPackage.m2:86-101) resolves an out-of-package tag to that package's own install prefix, above the comment 'we assume, perhaps mistakenly, that this package will be installed under the same prefix eventually'; toURL(String,String) (hypertext.m2:71-76) then emits a relative link only when prefix === installPrefix, otherwise prefix|tail, an absolute local path that dies when posted. Also errors outright if the out-of-set package is not installed locally. M2 already knows the canonical root -- homeButton and the site:macaulay2.com/doc search at installPackage.m2:257-260 -- it just is not used for link targets. Adjacent to #431 (same toURL machinery) but NOT the same defect: #431 is an image src from currentLayout, not a doc-node target. No comment posted, per Doug
647	2017-06-25	2026-08-14	DanGrayson	11	Bug	Core	transcript	differs	'betti' is unaware of maps with nonzero degree	reproduces		Bug		Core		keep	reproduces byte-identically -- betti f still shows the -6 row for map(R^{0}, R^{5}, {{1}}, Degree => 5), which is homogeneous with degree {5}. The run classifier said 'differs' but that was extractor noise, not a behaviour change. No comment added: the 11-comment thread ends in an unresolved design disagreement between DanGrayson and mahrud (Nov 2021) about whether maps of nonzero degree can appear in a graded complex at all -- mahrud's closing question 'How do you define a graded module M? Is it not a direct sum of vector spaces M_d?' was never answered. Restating 'still reproduces' would add nothing to a live disagreement between two core developers; the useful move is to leave it for them. Bug/Core
650	2017-06-29	2026-08-14	kroner	11	Bug	Core	transcript	same-output	Sets don't sort consistently	reproduces		Bug		Core		keep	reproduces byte-identically after 9 years: sort alternates with period 2, sort^3 == sort^1. aarondall's 2017 diagnosis still right -- set{1,3}<=set{0} and the reverse are both false, ? gives incomparable, so sort is asked to totally order a partial order. NO COMMENT: I drafted one and Doug rejected it as adding nothing. The recap half restated the thread to the people having it; the stableSort half was about an unexported helper in VectorGraphics (an SVG package) that does not fix this, and 'index-pairing breaks ties but not incomparability' is precisely the distinction Dan himself drew in 2018 asking whether merge sort can be made stable 'in the presence of incomparable pairs'. I only found it grepping to check a negative claim in my own draft. Banked for the 2020 cohort, NOT for here: #1185's surface ask was fixed by pzinn's PR #2918 (2023-08-30, m2/set.m2:62, == now inherits from ?), which also changed Dan's example in this thread from 'incomparable' to 'false' without delivering his stated holdout -- ideal(0,0)==ideal 0 is true but ? on the singleton sets is still incomparable. That belongs on #1185, which Doug ruled out of scope for this batch. Bug/Core
659	2017-07-27	2026-08-14	DanGrayson	1	Bug	Interpreter	transcript	syntax	growth of mutable lists	reproduces		Bug		Interpreter		keep	reproduces, quadratic confirmed by scaling: n=2000/4000/8000/16000 -> 0.004/0.041/0.209/0.874s, i.e. doubling n roughly quadruples the time. Code byte-identical to Dan's 2017 quote at d/evaluate.d:124, 'x = new Sequence len k+1', so each append reallocates and copies the whole vector. Already commented 2026-08-05 in the bugs/ sweep with the same finding, paired against bugs/dan/0-mutable-lists -- no second comment, it would be redundant. Bug rather than Task: amortized O(1) append is a reasonable expectation for a mutable list and the cliff is user-visible. Interpreter for evaluate.d
